"","left_company","department","job_level","salary","weekly_hours","business_travel","yrs_at_company","yrs_since_promotion","previous_companies","job_satisfaction","performance_rating","marital_status","miles_from_home"
"253","No","Sales","Manager",61697.5713970879,48,"Rarely",6,1,2,"Very High","Exceeds Expectations","Single",15
"254","No","Research","Manager",69898.7421217533,45,"Rarely",3,0,3,"Low","Exceeds Expectations","Single",17
"255","No","IT and Analytics","Senior Manager",79702.1514358465,48,"Rarely",3,0,3,"Very High","Meets Expectations","Divorced",20
"256","No","Marketing","Manager",61198.3292544915,46,"Rarely",4,1,4,"High","Exceptional","Married",1
"257","No","IT and Analytics","Senior Manager",80731.6449942157,45,"Rarely",9,7,3,"Low","Meets Expectations","Divorced",2
"258","No","Sales","Senior Manager",90335.0236050207,52,"Rarely",21,3,3,"High","Meets Expectations","Divorced",2
"259","No","Marketing","Director",126171.061478094,45,"Rarely",1,0,3,"Very High","Exceeds Expectations","Married",1
"260","Yes","Sales","Associate",42069.8354651735,57,"Frequently",5,1,5,"Medium","Meets Expectations","Single",29
"261","No","Research","Associate",33276.5365048842,49,"Frequently",5,0,2,"Medium","Meets Expectations","Married",7
"262","No","Research","Senior Manager",97504.1301428063,47,"None",8,7,7,"Very High","Exceeds Expectations","Married",2
"263","No","IT and Analytics","Senior Manager",100764.570417871,50,"Rarely",6,0,3,"Low","Meets Expectations","Single",2
"264","No","IT and Analytics","Manager",73228.9406274665,46,"Rarely",7,7,7,"Medium","Exceptional","Married",2
"265","Yes","Product Development","Manager",81185.8689757849,55,"Rarely",0,0,5,"High","Meets Expectations","Single",2
"266","No","Finance and Operations","Manager",63496.5791080374,44,"Rarely",0,0,3,"Medium","Exceeds Expectations","Married",2
"267","No","Finance and Operations","Senior Manager",88991.1001901311,49,"Rarely",9,7,2,"Very High","Minimally Effective","Married",23
"268","No","Research","Director",117411.714242327,50,"None",6,1,2,"Low","Minimally Effective","Divorced",5
"269","No","IT and Analytics","Associate",43126.094964436,46,"Rarely",20,4,3,"Very High","Meets Expectations","Married",20
"270","No","IT and Analytics","Senior Manager",91606.6839553537,51,"Rarely",15,10,3,"Very High","Meets Expectations","Married",6
"271","No","IT and Analytics","Director",117305.98906331,49,"Rarely",36,4,2,"Low","Exceptional","Single",1
"272","Yes","Marketing","Senior Manager",92852.9296735703,57,"None",10,9,3,"Medium","Minimally Effective","Married",29
"273","No","Product Development","Vice President",187029.525803099,44,"Rarely",5,0,2,"Very High","Exceptional","Married",9
"274","No","Research","Manager",66944.7409029907,52,"Rarely",5,0,4,"Very High","Exceptional","Married",6
"275","No","Finance and Operations","Manager",76127.8286727136,52,"Rarely",3,1,3,"High","Meets Expectations","Single",3
"276","No","Research","Senior Manager",93810.0420272361,53,"None",5,0,2,"Very High","Meets Expectations","Divorced",1
"277","No","Research","Senior Manager",89414.3696992754,47,"Rarely",7,6,2,"Medium","Meets Expectations","Divorced",22
"278","No","Product Development","Senior Manager",86989.9236079275,49,"Rarely",8,7,2,"Low","Exceptional","Divorced",7
"279","No","Sales","Director",124340.850663168,53,"Frequently",6,1,2,"Medium","Exceeds Expectations","Divorced",1
"280","No","Product Development","Senior Manager",93634.9796894702,45,"Rarely",10,1,2,"Medium","Exceeds Expectations","Divorced",4
"281","No","Research","Senior Manager",82867.8349426992,49,"Rarely",5,1,2,"High","Meets Expectations","Married",3
"282","No","IT and Analytics","Manager",87331.1932955835,50,"Rarely",20,11,3,"High","Not Effective","Married",1
"283","No","Product Development","Senior Manager",93770.2474984437,46,"Frequently",10,0,1,"Very High","Exceeds Expectations","Single",2
"284","No","Research","Vice President",174888.434985502,52,"Rarely",10,0,1,"Very High","Exceeds Expectations","Married",20
"285","No","Product Development","Manager",80100.6461563471,49,"Frequently",5,3,6,"Low","Exceptional","Married",11
"286","No","Research","Senior Manager",86365.567505639,45,"Rarely",17,5,3,"Very High","Meets Expectations","Single",1
"287","Yes","Product Development","Manager",74262.9874914263,55,"Frequently",1,0,6,"High","Exceeds Expectations","Divorced",24
"288","No","Marketing","Senior Manager",85956.7347083678,48,"Rarely",2,1,2,"Very High","Exceeds Expectations","Divorced",23
"289","Yes","Marketing","Associate",38541.7496303991,59,"Rarely",3,0,4,"Medium","Minimally Effective","Divorced",16
"290","No","Research","Senior Manager",78291.4562222981,48,"Rarely",5,0,3,"Very High","Meets Expectations","Single",8
"291","No","Research","Director",112903.745060496,44,"Frequently",3,1,2,"Low","Exceeds Expectations","Single",10
"292","No","Sales","Director",126669.549256254,51,"Rarely",8,7,2,"Medium","Exceptional","Single",3
"293","No","IT and Analytics","Director",121628.740792175,48,"Frequently",2,2,5,"Medium","Meets Expectations","Divorced",5
"294","Yes","Sales","Manager",72727.7170958187,58,"Rarely",8,7,6,"Very High","Not Effective","Single",4
"295","No","Product Development","Director",108868.569284152,51,"Frequently",4,1,1,"Very High","Meets Expectations","Married",9
"296","No","IT and Analytics","Senior Manager",91526.3535265841,47,"Frequently",20,4,2,"Medium","Exceptional","Married",26
"297","Yes","Finance and Operations","Associate",44663.3675504996,63,"Rarely",0,0,7,"High","Meets Expectations","Single",3
"298","No","Research","Senior Manager",95146.8501758471,50,"Rarely",11,6,2,"Medium","Minimally Effective","Married",16
"299","No","Research","Associate",35669.0127328886,46,"Frequently",1,0,3,"Very High","Meets Expectations","Married",18
"300","No","IT and Analytics","Manager",66590.2790129654,53,"Rarely",4,1,7,"Medium","Meets Expectations","Divorced",2
"301","No","IT and Analytics","Director",114380.959009358,47,"Rarely",22,0,2,"Medium","Meets Expectations","Single",2
"302","No","Product Development","Director",125489.96228441,48,"Rarely",0,0,3,"High","Exceeds Expectations","Single",10
"303","No","Research","Senior Manager",82474.3763732177,49,"Rarely",8,0,4,"Low","Exceeds Expectations","Single",16
"304","No","Marketing","Director",123467.32785041,45,"Rarely",8,7,3,"Very High","Exceptional","Married",7
"305","No","IT and Analytics","Associate",38601.6177558327,52,"Rarely",18,3,1,"Very High","Meets Expectations","Divorced",1
"306","No","Finance and Operations","Senior Manager",82561.0125029095,48,"None",9,0,5,"Medium","Meets Expectations","Married",24
"307","No","Product Development","Manager",80228.5612081207,49,"Rarely",13,4,2,"High","Exceeds Expectations","Married",7
"308","No","Research","Senior Manager",82725.602103366,52,"Rarely",10,0,3,"Medium","Exceeds Expectations","Married",25
"309","No","Research","Vice President",183516.595112237,49,"None",5,1,5,"High","Exceptional","Divorced",1
"310","No","IT and Analytics","Senior Manager",96703.3474072346,49,"Rarely",5,0,3,"Very High","Exceptional","Married",5
"311","No","Marketing","Director",119933.189462297,52,"Rarely",2,1,3,"Low","Not Effective","Married",2
"312","No","Research","Director",122928.358581657,54,"Frequently",24,9,6,"Low","Meets Expectations","Divorced",7
"313","No","IT and Analytics","Senior Manager",88127.5802798948,48,"Rarely",2,2,3,"Very High","Minimally Effective","Divorced",2
"314","No","IT and Analytics","Senior Manager",96212.1758957048,48,"Frequently",10,8,3,"Medium","Exceptional","Married",5
"315","No","Marketing","Manager",78763.4036372529,51,"Rarely",21,11,2,"Low","Exceeds Expectations","Married",10
"316","No","Product Development","Senior Manager",93365.34465103,47,"Frequently",8,1,6,"Very High","Exceptional","Single",10
"317","No","Research","Manager",78547.0274979519,49,"Rarely",7,0,1,"High","Exceptional","Single",1
"318","Yes","Sales","Manager",73148.363860214,62,"Rarely",8,7,5,"Medium","Exceeds Expectations","Married",8
"319","No","Research","Manager",68660.2778970153,53,"Rarely",4,1,1,"Medium","Meets Expectations","Single",5
"320","No","IT and Analytics","Manager",78375.931504273,44,"Rarely",13,11,3,"Medium","Exceeds Expectations","Married",8
"321","No","IT and Analytics","Vice President",185893.340880949,42,"Rarely",5,0,2,"High","Exceptional","Single",2
"322","No","Sales","Director",122744.988123081,49,"Rarely",7,1,3,"Very High","Exceptional","Divorced",7
"323","No","Marketing","Senior Manager",84532.6383769196,50,"Rarely",7,0,3,"Very High","Exceptional","Single",2
"324","Yes","IT and Analytics","Manager",66759.0230994007,60,"Rarely",3,2,6,"Very High","Minimally Effective","Married",2
"325","No","IT and Analytics","Associate",39303.5185172517,42,"Rarely",10,1,3,"Very High","Exceptional","Married",28
"326","No","Marketing","Manager",85143.3727425027,45,"Frequently",10,8,3,"High","Exceptional","Married",7
"327","No","IT and Analytics","Vice President",171085.874338941,48,"Frequently",21,13,3,"Very High","Meets Expectations","Married",7
"328","Yes","IT and Analytics","Director",109451.418541173,55,"Rarely",1,0,3,"High","Meets Expectations","Married",3
"329","No","Finance and Operations","Director",116724.005918647,51,"Frequently",7,0,2,"Very High","Exceeds Expectations","Single",10
"330","No","Research","Manager",69833.6881033346,45,"Rarely",3,1,1,"High","Meets Expectations","Married",5
"331","No","Sales","Associate",43149.482853588,58,"Frequently",9,0,3,"High","Exceptional","Divorced",10
"332","No","IT and Analytics","Director",128437.287014182,54,"None",5,1,3,"Medium","Exceeds Expectations","Married",1
"333","No","Product Development","Senior Manager",84845.3044051993,44,"Frequently",4,0,2,"High","Meets Expectations","Single",20
"334","No","Product Development","Senior Manager",92140.3719950321,46,"Rarely",1,0,2,"Low","Exceeds Expectations","Married",7
"335","No","Sales","Manager",68412.2769829362,53,"Rarely",10,9,3,"Very High","Exceeds Expectations","Married",8
"336","No","Sales","Director",118684.626270339,51,"Rarely",4,0,3,"Very High","Exceeds Expectations","Married",1
"337","Yes","Marketing","Manager",73846.3880124291,61,"Rarely",7,0,4,"Low","Minimally Effective","Married",8
"338","No","IT and Analytics","Manager",60879.5435085301,48,"Rarely",3,2,2,"Very High","Exceeds Expectations","Single",9
"339","No","IT and Analytics","Senior Manager",93728.4863854809,53,"Rarely",10,1,2,"High","Minimally Effective","Divorced",5
"340","No","Product Development","Senior Manager",86220.6429381327,48,"Rarely",8,0,1,"Medium","Meets Expectations","Married",8
"341","No","IT and Analytics","Vice President",179146.04630771,51,"Rarely",6,0,3,"Very High","Exceptional","Divorced",5
"342","No","IT and Analytics","Manager",68007.7745202196,46,"Rarely",11,2,3,"Very High","Exceeds Expectations","Divorced",15
"343","No","Marketing","Director",125967.637512506,49,"Rarely",11,4,3,"Very High","Meets Expectations","Single",7
"344","No","Product Development","Associate",36296.5581983177,46,"Rarely",7,1,3,"Medium","Exceeds Expectations","Divorced",10
"345","No","IT and Analytics","Senior Manager",82929.3227893512,50,"Rarely",16,0,5,"Medium","Exceptional","Single",5
"346","No","Marketing","Senior Manager",93891.1606668174,50,"Rarely",4,0,3,"Very High","Meets Expectations","Divorced",26
"347","No","Product Development","Manager",64454.9524062374,44,"Rarely",5,1,3,"Medium","Meets Expectations","Single",6
"348","No","IT and Analytics","Senior Manager",92745.226755907,44,"Frequently",0,0,2,"High","Exceeds Expectations","Single",4
"349","No","Sales","Director",111718.449353765,53,"Rarely",1,0,3,"Very High","Exceptional","Single",23
"350","No","IT and Analytics","Vice President",177485.879969832,50,"None",4,0,2,"High","Exceptional","Married",2
"351","No","Research","Director",132176.534863284,47,"Rarely",3,1,2,"High","Exceptional","Divorced",2
"352","No","Research","Senior Manager",80502.913048348,50,"Rarely",8,0,7,"Medium","Meets Expectations","Married",2
"353","No","Sales","Director",115793.554622392,50,"Rarely",0,0,4,"High","Meets Expectations","Married",29
"354","No","Marketing","Manager",82498.1727834562,53,"Rarely",7,6,2,"Low","Meets Expectations","Divorced",6
"355","No","IT and Analytics","Director",124888.964430633,53,"None",2,2,3,"High","Exceeds Expectations","Married",25
"356","No","Sales","Senior Manager",92139.3879428618,45,"Rarely",8,7,2,"High","Exceeds Expectations","Married",1
"357","No","IT and Analytics","Associate",36960.0233718199,51,"Rarely",1,0,2,"Very High","Exceeds Expectations","Single",2
"358","Yes","IT and Analytics","Vice President",167621.776761494,58,"Frequently",3,1,4,"Medium","Meets Expectations","Single",1
"359","No","Research","Manager",67005.2951394779,50,"None",1,0,3,"Very High","Exceptional","Single",1
"360","No","Marketing","Senior Manager",79101.5792345598,46,"Frequently",13,1,3,"Very High","Meets Expectations","Married",3
"361","No","Research","Senior Manager",100371.491564902,45,"Rarely",3,1,3,"High","Exceeds Expectations","Married",1
"362","No","Sales","Manager",75760.3106203502,44,"Rarely",7,1,1,"High","Exceptional","Married",10
"363","No","Sales","Manager",50335.653339642,46,"None",3,2,7,"Very High","Exceeds Expectations","Single",9
"364","Yes","Sales","Associate",37443.1079980447,60,"Rarely",1,0,4,"High","Meets Expectations","Single",5
"365","No","Sales","Director",123525.242401113,47,"Rarely",5,0,5,"Low","Exceeds Expectations","Married",10
"366","No","Marketing","Vice President",181043.340370648,51,"None",1,0,2,"High","Meets Expectations","Married",7
"367","Yes","Sales","Senior Manager",93471.7570229204,61,"Frequently",8,7,7,"Medium","Minimally Effective","Single",4
"368","No","Marketing","Senior Manager",85606.0021759608,47,"Rarely",4,1,7,"Very High","Exceptional","Single",10
"369","Yes","Finance and Operations","Manager",77383.4002357582,55,"Rarely",6,1,3,"High","Meets Expectations","Married",22
"370","No","IT and Analytics","Manager",55508.6727216423,49,"Rarely",2,2,3,"Medium","Exceptional","Single",9
"371","Yes","Finance and Operations","Vice President",205266.898625448,66,"Rarely",1,0,6,"Medium","Meets Expectations","Single",12
"372","No","IT and Analytics","Senior Manager",93285.112997637,51,"Rarely",3,1,6,"Very High","Exceptional","Single",23
"373","No","Product Development","Manager",66035.6277110097,46,"Rarely",1,0,5,"Medium","Meets Expectations","Single",9
"374","No","Marketing","Manager",59453.5330517965,41,"Rarely",5,0,3,"Medium","Exceptional","Divorced",1
"375","No","Research","Senior Manager",94094.5654523122,47,"Rarely",7,0,3,"Very High","Exceeds Expectations","Single",9
"376","No","Research","Vice President",188960.235746853,48,"Rarely",5,0,2,"High","Exceeds Expectations","Single",7
"377","No","Research","Manager",62995.1340125416,51,"Rarely",7,0,6,"Very High","Meets Expectations","Married",14
"378","No","Product Development","Director",129021.606053226,48,"Rarely",2,2,3,"High","Exceeds Expectations","Married",2
"379","Yes","IT and Analytics","Manager",63708.8501599414,59,"None",5,0,3,"Very High","Minimally Effective","Single",19
"380","No","Research","Senior Manager",94449.3789660742,51,"Rarely",5,1,5,"Very High","Meets Expectations","Single",2
"381","No","Research","Director",119657.437083304,49,"Rarely",5,0,2,"High","Exceeds Expectations","Divorced",10
"382","No","Research","Senior Manager",75834.8837559747,43,"Rarely",1,0,5,"Medium","Meets Expectations","Married",2
"383","Yes","Finance and Operations","Senior Manager",92324.5628488134,55,"Frequently",6,0,4,"Low","Meets Expectations","Single",3
"384","No","Product Development","Manager",75146.456926428,46,"Rarely",2,1,2,"Medium","Meets Expectations","Married",11
"385","No","IT and Analytics","Manager",70370.6546944575,50,"Rarely",10,9,2,"High","Exceeds Expectations","Married",2
"386","Yes","Product Development","Associate",40116.5668629558,58,"Frequently",1,0,4,"Very High","Minimally Effective","Single",4
"387","No","IT and Analytics","Senior Manager",92527.8559508002,49,"Rarely",18,12,2,"Low","Exceeds Expectations","Divorced",14
"388","No","Research","Manager",72848.0378391508,55,"Rarely",5,1,3,"Medium","Exceptional","Divorced",2
"389","No","Finance and Operations","Manager",73149.9877096367,43,"Rarely",5,1,3,"Low","Meets Expectations","Divorced",1
"390","No","Sales","Associate",41798.6789051175,48,"Rarely",1,0,2,"Medium","Exceptional","Single",10
"391","No","Sales","Senior Manager",85998.8540793656,50,"Rarely",25,3,3,"Medium","Exceeds Expectations","Divorced",12
"392","No","IT and Analytics","Manager",60593.2425711961,51,"Rarely",1,0,1,"High","Exceeds Expectations","Married",2
"393","No","Product Development","Director",129812.404979378,48,"Rarely",4,1,2,"Low","Exceptional","Married",5
"394","No","Product Development","Director",122014.245456107,48,"None",3,1,3,"High","Exceeds Expectations","Married",4
"395","No","Finance and Operations","Manager",67662.6799820611,48,"Rarely",13,3,2,"Low","Meets Expectations","Married",7
"396","No","Sales","Director",117910.25516877,50,"Frequently",3,1,3,"Very High","Exceeds Expectations","Married",21
"397","No","Research","Senior Manager",88345.2414959356,46,"Rarely",5,0,3,"High","Exceeds Expectations","Divorced",8
"398","No","Research","Senior Manager",99526.0254386179,46,"Rarely",5,1,2,"Very High","Meets Expectations","Single",4
"399","No","Research","Vice President",171433.865013775,45,"None",13,10,4,"High","Exceeds Expectations","Married",25
"400","No","Marketing","Director",123340.21655039,47,"Rarely",4,3,3,"Low","Exceeds Expectations","Married",1
"401","No","IT and Analytics","Director",125277.638485019,51,"Frequently",21,1,2,"High","Meets Expectations","Divorced",1
"402","No","Marketing","Manager",73879.3977675757,50,"Frequently",7,7,2,"Low","Exceptional","Married",6
"403","No","Research","Manager",69548.4347133625,46,"Rarely",5,4,2,"High","Exceeds Expectations","Single",12
"404","No","Product Development","Vice President",195345.347395861,45,"Rarely",10,0,4,"Low","Meets Expectations","Married",1
"405","No","IT and Analytics","Senior Manager",84934.6466887381,48,"Rarely",10,1,1,"Low","Exceeds Expectations","Divorced",17
"406","Yes","Marketing","Associate",44124.2080274217,58,"Rarely",2,0,5,"Low","Meets Expectations","Married",3
"407","No","Research","Senior Manager",93105.4520006324,47,"Rarely",5,0,2,"High","Exceeds Expectations","Married",3
"408","No","Marketing","Senior Manager",86021.9673959077,47,"Rarely",2,0,3,"Very High","Exceeds Expectations","Married",10
"409","No","IT and Analytics","Associate",37036.4889780584,51,"Rarely",5,1,6,"Very High","Exceeds Expectations","Married",4
"410","No","Marketing","Senior Manager",92953.639614987,47,"Frequently",5,0,3,"High","Minimally Effective","Divorced",29
"411","No","Research","Director",121936.919375333,46,"Rarely",5,0,3,"Very High","Meets Expectations","Single",2
"412","No","Research","Manager",70500.4780589572,53,"Rarely",29,11,3,"Low","Exceeds Expectations","Married",7
"413","No","Product Development","Vice President",186310.062691439,45,"Rarely",10,0,3,"High","Exceptional","Divorced",18
"414","No","IT and Analytics","Director",108057.283904327,50,"Frequently",6,0,3,"Very High","Exceeds Expectations","Married",28
"415","Yes","Finance and Operations","Senior Manager",83054.7979511612,60,"Rarely",5,1,6,"Medium","Meets Expectations","Single",1
"416","Yes","Product Development","Manager",70122.9820146033,59,"Frequently",2,1,6,"High","Minimally Effective","Divorced",6
"417","No","Sales","Senior Manager",93295.8756186992,48,"Frequently",1,0,7,"Very High","Exceeds Expectations","Married",2
"418","No","Sales","Senior Manager",79926.7203100091,48,"Rarely",20,1,3,"High","Exceeds Expectations","Married",2
"419","No","Marketing","Manager",67127.7992889712,50,"Rarely",3,0,3,"Very High","Exceeds Expectations","Divorced",23
"420","No","IT and Analytics","Vice President",167435.576592347,49,"None",5,1,3,"Very High","Meets Expectations","Married",3
"421","No","Research","Manager",72789.7741706159,50,"Rarely",10,0,1,"High","Exceptional","Married",3
"422","Yes","Product Development","Director",114520.855368273,62,"Rarely",2,1,4,"Medium","Minimally Effective","Married",25
"423","Yes","Sales","Vice President",192393.974154167,58,"Rarely",1,0,5,"Very High","Meets Expectations","Single",2
"424","No","Sales","Director",123562.370953407,45,"None",9,7,3,"Low","Exceeds Expectations","Married",22
"425","No","Research","Vice President",202111.167089318,53,"Rarely",1,0,4,"Very High","Exceeds Expectations","Divorced",29
"426","No","IT and Analytics","Manager",67752.2749085056,48,"Rarely",27,15,6,"High","Meets Expectations","Married",29
"427","No","Marketing","Manager",61219.7488794526,48,"None",11,6,3,"Very High","Meets Expectations","Single",2
"428","No","Research","Director",105967.402468129,47,"Frequently",18,13,3,"Low","Meets Expectations","Married",28
"429","No","IT and Analytics","Senior Manager",85550.4367334069,54,"Rarely",5,0,3,"Very High","Meets Expectations","Divorced",2
"430","No","IT and Analytics","Director",109392.521967549,54,"Rarely",3,0,3,"High","Meets Expectations","Married",2
"431","No","Marketing","Associate",34741.9179846546,46,"Rarely",5,4,2,"High","Meets Expectations","Single",22
"432","No","Research","Senior Manager",79851.4735269288,42,"Rarely",1,0,3,"High","Exceptional","Single",8
"433","No","Research","Senior Manager",92128.403629944,47,"Rarely",7,5,3,"High","Exceeds Expectations","Divorced",2
"434","No","Research","Senior Manager",92289.5746315619,49,"Rarely",3,1,2,"Very High","Exceptional","Married",10
"435","No","IT and Analytics","Senior Manager",86184.854291954,49,"Rarely",13,0,3,"Medium","Meets Expectations","Divorced",9
"436","Yes","Sales","Manager",75975.5909429425,56,"Rarely",7,7,3,"High","Meets Expectations","Married",15
"437","Yes","Sales","Manager",77632.0221611637,64,"Rarely",4,1,1,"Very High","Not Effective","Divorced",10
"438","No","Sales","Senior Manager",97533.0857224906,46,"Rarely",3,1,3,"Medium","Exceptional","Single",7
"439","No","Research","Director",114980.910213289,46,"Rarely",8,0,3,"High","Exceptional","Married",16
"440","Yes","Sales","Manager",74324.6846012739,62,"Frequently",1,0,6,"High","Exceeds Expectations","Married",20
"441","Yes","Sales","Director",118948.946829209,64,"Frequently",3,0,3,"Low","Meets Expectations","Divorced",23
"442","No","Research","Manager",73715.2326063109,47,"Frequently",2,2,5,"High","Meets Expectations","Married",5
"443","No","Marketing","Director",118700.540909696,47,"None",10,9,3,"Very High","Exceeds Expectations","Single",10
"444","Yes","Research","Manager",71421.1845482078,57,"Frequently",2,1,3,"High","Minimally Effective","Single",4
"445","No","IT and Analytics","Senior Manager",90637.5899547816,46,"Rarely",9,6,3,"Very High","Exceeds Expectations","Married",2
"446","No","Product Development","Senior Manager",93958.3763658056,45,"Rarely",10,7,1,"Medium","Exceeds Expectations","Single",18
"447","No","IT and Analytics","Senior Manager",94534.6978333436,45,"None",14,1,3,"Very High","Exceeds Expectations","Single",10
"448","No","IT and Analytics","Director",115408.598854639,51,"Rarely",11,6,6,"High","Minimally Effective","Married",1
"449","No","Marketing","Senior Manager",97943.3051756678,50,"Rarely",20,5,2,"High","Exceeds Expectations","Single",6
"450","No","Sales","Manager",76349.4444404269,50,"Frequently",8,0,5,"High","Meets Expectations","Married",8
"451","No","Sales","Associate",38184.8950776697,45,"Rarely",6,0,3,"Very High","Exceeds Expectations","Single",2
"452","No","Research","Manager",60286.8383351147,50,"Rarely",10,5,3,"Low","Meets Expectations","Married",24
"453","No","Product Development","Manager",64367.5817365011,49,"Rarely",8,3,3,"Medium","Meets Expectations","Married",2
"454","Yes","Sales","Manager",77295.941460369,59,"Frequently",7,1,4,"High","Meets Expectations","Divorced",17
"455","No","Research","Manager",63745.9714964776,49,"Rarely",3,1,7,"Very High","Exceeds Expectations","Divorced",19
"456","No","IT and Analytics","Associate",48280.4375599323,48,"Rarely",6,0,3,"High","Meets Expectations","Divorced",1
"457","No","Research","Manager",69766.0661124523,48,"Rarely",5,0,1,"Very High","Exceptional","Divorced",7
"458","Yes","Sales","Manager",64353.9759412907,60,"Frequently",0,0,5,"Medium","Meets Expectations","Single",5
"459","No","Product Development","Director",123916.592983406,47,"None",1,0,7,"Low","Exceptional","Divorced",28
"460","No","Product Development","Senior Manager",89676.0076520841,45,"None",8,0,3,"High","Exceeds Expectations","Single",2
"461","No","Marketing","Senior Manager",87437.7866556624,42,"Rarely",0,0,2,"High","Exceptional","Divorced",29
"462","No","Research","Vice President",197333.130636861,47,"Rarely",5,0,3,"High","Exceptional","Single",1
"463","No","Research","Director",125890.67540229,47,"Rarely",10,5,6,"Very High","Meets Expectations","Single",21
"464","Yes","Sales","Director",125695.805572499,55,"Rarely",1,0,6,"Very High","Minimally Effective","Single",24
"465","No","Marketing","Manager",66995.0360022341,50,"Rarely",6,1,3,"Very High","Minimally Effective","Single",1
"466","No","Product Development","Senior Manager",80618.5027974631,52,"Frequently",2,1,3,"High","Exceeds Expectations","Married",18
"467","No","Research","Manager",70601.5247111306,44,"Rarely",18,11,3,"Low","Meets Expectations","Married",2
"468","No","IT and Analytics","Director",124606.340051425,44,"None",9,7,1,"Medium","Meets Expectations","Divorced",9
"469","No","IT and Analytics","Director",113958.501346944,48,"Rarely",10,6,3,"Low","Exceeds Expectations","Divorced",6
"470","Yes","IT and Analytics","Manager",50463.4643470642,64,"None",4,1,5,"High","Meets Expectations","Married",11
"471","No","Marketing","Director",122639.962987234,53,"Frequently",2,2,7,"Very High","Meets Expectations","Married",24
"472","No","Research","Senior Manager",77607.3753657281,48,"Rarely",1,0,7,"High","Exceeds Expectations","Married",10
"473","No","Research","Director",120496.395550107,46,"Rarely",6,4,3,"Medium","Meets Expectations","Married",1
"474","No","Sales","Senior Manager",90660.738137969,53,"Rarely",31,0,3,"High","Meets Expectations","Divorced",18
"475","No","IT and Analytics","Vice President",200731.919838704,47,"Rarely",6,1,1,"Very High","Exceptional","Married",23
"476","No","Marketing","Director",110939.939512251,46,"Rarely",5,1,3,"Medium","Exceptional","Married",28
"477","No","Research","Manager",61524.5422227555,46,"Rarely",1,0,3,"Medium","Meets Expectations","Married",17
"478","No","Marketing","Manager",73620.545954284,50,"Frequently",32,10,3,"Medium","Exceeds Expectations","Married",3
"479","No","Research","Senior Manager",91205.3205532075,48,"Rarely",7,0,5,"High","Exceeds Expectations","Married",13
"480","Yes","Product Development","Senior Manager",87421.7385304671,58,"Frequently",6,1,3,"High","Minimally Effective","Married",7
"481","Yes","Finance and Operations","Associate",38180.8274151374,57,"Frequently",1,0,1,"Low","Exceptional","Married",12
"482","No","Research","Senior Manager",90588.4718268772,46,"Rarely",6,1,3,"Very High","Exceptional","Married",1
"483","Yes","Research","Senior Manager",88555.4160190418,57,"Rarely",3,1,3,"Low","Minimally Effective","Divorced",13
"484","No","Finance and Operations","Director",123652.732494792,48,"Rarely",3,0,2,"Very High","Meets Expectations","Single",25
"485","No","Marketing","Director",112763.530499944,49,"Rarely",7,5,2,"Very High","Exceeds Expectations","Divorced",6
"486","No","Marketing","Director",121154.052233749,51,"Rarely",5,0,2,"High","Exceeds Expectations","Divorced",6
"487","No","IT and Analytics","Associate",34484.2476589422,48,"Rarely",3,1,3,"High","Exceeds Expectations","Married",2
"488","No","Research","Director",124953.219777717,49,"Rarely",1,0,3,"Medium","Meets Expectations","Single",1
"489","No","Sales","Senior Manager",93011.7395380201,51,"Rarely",10,2,3,"Very High","Exceeds Expectations","Married",2
"490","No","Sales","Senior Manager",82523.6439477397,52,"Rarely",1,0,2,"Very High","Exceptional","Divorced",6
"491","No","Research","Director",115994.795237723,48,"Rarely",0,0,3,"Low","Meets Expectations","Single",1
"492","No","Research","Manager",69337.250253226,50,"Frequently",8,4,5,"High","Exceptional","Divorced",9
"493","No","Research","Manager",73047.0775754892,45,"Rarely",3,0,1,"Low","Meets Expectations","Married",1
"494","No","Marketing","Senior Manager",83758.9827996565,53,"Rarely",2,0,1,"High","Exceptional","Single",1
"495","No","Finance and Operations","Vice President",184025.265171599,46,"Rarely",8,0,4,"High","Exceptional","Divorced",14
"496","Yes","Finance and Operations","Manager",83236.0152005164,58,"Rarely",4,0,3,"Low","Minimally Effective","Divorced",2
"497","No","IT and Analytics","Senior Manager",90542.9542673756,46,"Rarely",3,1,2,"High","Exceeds Expectations","Single",22
"498","No","Research","Senior Manager",89164.4303562124,51,"Rarely",2,0,1,"Very High","Meets Expectations","Married",3
"499","No","Research","Senior Manager",105089.791269666,51,"Rarely",2,2,5,"High","Meets Expectations","Married",6
"500","No","Research","Director",131172.061755451,47,"Rarely",5,1,3,"High","Exceptional","Divorced",8
"501","No","Product Development","Associate",44755.5970323284,45,"Rarely",6,0,5,"Very High","Meets Expectations","Married",9
"502","No","IT and Analytics","Senior Manager",86739.1470560273,47,"Frequently",1,0,2,"High","Exceeds Expectations","Divorced",3
"503","No","Marketing","Director",127787.433788122,41,"Rarely",14,8,3,"Low","Exceptional","Single",1
"504","No","Research","Vice President",177264.287673219,48,"Rarely",10,8,2,"Very High","Exceptional","Married",1
"505","Yes","Product Development","Manager",80208.7710066626,57,"Frequently",1,0,4,"Low","Meets Expectations","Married",26
"506","No","Sales","Director",122505.461939128,50,"Rarely",3,0,2,"Very High","Exceeds Expectations","Married",6
"507","No","Sales","Manager",62310.9947114683,47,"Rarely",10,7,4,"High","Exceeds Expectations","Married",3
